Date of Launch,Geographic Coordinate,COSPAR Number,NORAD Number,Current Official Name of Satellite,Launch Site,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Launch Vehicle,Expected Lifetime (yrs.),Contractor,Country of Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Comments,Unnamed: 27,Source Used for Orbital Data,lat,lon,date,weathercode,temperature_2m_mean,precipitation_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,cloudcover_mean,relative_humidity_2m_mean,weather_summary,Launch Year,year
1974-11-15,"(34.74738558053763, -120.57287382598979)",1974-089B,7530,Amsat-Oscar 7,Vandenberg AFB,USA,USA,AMSAT-NA,Delta 2310,,Amsat-NA,USA,Civil,Communications,,LEO,Polar,0.0,1440.0,1459.0,0.001214911439350342,101.4,114.9,29.0,,,American amateur radio satellite.,,www.satellitedebris.net 12/12,34.74738558053763,-120.57287382598979,1974-11-15,3,14.1,0.0,0.0,26.1,44.6,71,87,Parcialmente nublado,1974,1974
1988-09-29,"(28.478816053592052, -80.57606021672525)",1988-091B,19548,TDRS-3,Cape Canaveral,USA,USA,National Aeronautics and Space Administration (NASA),Space Shuttle (STS 26),10.0,TRW Defense and Space Systems Group,USA,Government,Communications,,GEO,,-49.0,35693.0,35878.0,0.002194256977144145,11.53,1436.06,3180.0,1600,1800,Backup; still partially operational.,,JM/12_08,28.478816053592052,-80.57606021672525,1988-09-29,51,25.9,0.7,3.0,22.6,36.7,28,76,Lluvia ligera,1988,1988
1989-09-25,"(28.478816053592052, -80.57606021672525)",1989-077A,20253,USA 46,Cape Canaveral,USA,USA,US Navy,Atlas Centaur,5.0,"TRW, Defense and Space Systems Group",USA,Military,Communications,,GEO,,-14.74,35745.0,35829.0,0.0009962758260787057,8.97,1436.13,2310.0,1884,,Old system replaced by UFO satellites; this satellite still operational as of 2009.,,JM/2_09,28.478816053592052,-80.57606021672525,1989-09-25,61,27.1,4.3,8.0,19.4,33.5,100,83,Lluvia ligera,1989,1989
1990-04-25,"(28.478816053592052, -80.57606021672525)",1990-037B,20580,Hubble Space Telescope,Cape Canaveral,USA,ESA,European Space Agency (ESA)/NASA,Space Shuttle (STS 31),10.0,European Space Agency/NASA,International,Government,Space Science,,LEO,Non-Polar Inclined,0.0,555.0,559.0,0.00028872527789807997,28.5,95.8,11110.0,,2400,Exploration of space.,,www.satellitedebris.net 12/12,28.478816053592052,-80.57606021672525,1990-04-25,2,22.9,0.0,0.0,24.2,39.2,26,63,Parcialmente nublado,1990,1990
1990-08-30,"(5.23314401858844, -52.776983796694616)",1990-079A,20776,Skynet 4C,Guiana Space Center,ESA,United Kingdom,Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium),Ariane 44LP,7.0,Astrium,France/UK/Germany,Military,Communications,,GEO,,-1.3,35785.0,35787.0,2.3721415694088623e-05,13.6,1436.07,1474.0,850,1200,Spare. In March 2010 it was announced that the satellite would supplement communications at Antarctica. Provides 6 hrs of communication to the National Science Foundation each day.,,JM/12_08,5.23314401858844,-52.776983796694616,1990-08-30,61,26.1,6.8,16.0,15.9,33.1,45,85,Lluvia ligera,1990,1990
1991-08-02,"(28.478816053592052, -80.57606021672525)",1991-054B,21639,TDRS-5,Cape Canaveral,USA,USA,SES S.A.,Space Shuttle (STS 43),10.0,TRW Defense and Space Systems Group,USA,Commercial/Government,Communications,,GEO,,-174.0,35773.0,35796.0,0.0002728059874983691,9.4,1436.99,3180.0,1600,1800,Used by South Pole station.,,JM/12_08,28.478816053592052,-80.57606021672525,1991-08-02,55,26.9,1.8,3.0,17.4,27.0,51,87,Lluvia ligera,1991,1991
1992-07-24,"(28.478816053592052, -80.57606021672525)",1992-044A,22049,Geomagnetic Tail Laboratory (Geotail),Cape Canaveral,Japan,Multinational,Institute of Space and Astronautical Science (ISAS)/NASA/ESA,Delta 2,,NASA/Goddard Space Flight Center,USA,Government,Space Science,,Elliptical,Deep Highly Eccentric,0.0,49551.0,191451.0,0.5592294535394219,9.39,2474.83,980.0,,273,Study the dynamics of the Earth's magnetotail over a wide range of distance,,WT,28.478816053592052,-80.57606021672525,1992-07-24,53,27.4,1.3,5.0,20.2,31.3,51,82,Lluvia ligera,1992,1992
1993-01-13,"(28.478816053592052, -80.57606021672525)",1993-003B,22314,TDRS-6,Cape Canaveral,USA,USA,National Aeronautics and Space Administration (NASA)/SES Americom (SES [Société Européenne des Satellites (SES)]),Space Shuttle (STS 54),10.0,TRW Defense and Space Systems Group,USA,Commercial/Government,Communications,,GEO,,-171.35,35773.0,35787.0,0.000166073546856465,8.74,1435.7,3180.0,1600,1800,"Tracking and communications with space shuttle, other missions; leased access to C-band by Americom.",,JM/12_08,28.478816053592052,-80.57606021672525,1993-01-13,3,22.8,0.0,0.0,17.0,24.1,85,89,Parcialmente nublado,1993,1993
1993-02-09,"(28.478816053592052, -80.57606021672525)",1993-009B,22491,SCD-1,Cape Canaveral,Brazil,Brazil,Instituto Nacional de Pesquisas Espaciais (INPE),Pegasus,3.0,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Government,Earth Observation,Meteorology/Earth Science,LEO,Non-Polar Inclined,0.0,716.0,776.0,0.0042158516020236085,25.0,99.7,110.0,,70,Collects meteorological and environmental data on the Amazon region; barely functioning.,,www.satellitedebris.net 12/12,28.478816053592052,-80.57606021672525,1993-02-09,51,16.6,0.2,1.0,14.3,20.9,99,70,Lluvia ligera,1993,1993
1993-09-03,"(28.478816053592052, -80.57606021672525)",1993-056A,22787,USA 95,Cape Canaveral,USA,USA,US Navy,Atlas 2,,Boeing Satellite Systems,USA,Military,Communications,,GEO,,28.79,35766.0,35807.0,0.0004862832540652094,8.27,1436.12,3200.0,1545,"2,800 (EOL)",Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application. Inclined.,,JM/12_08,28.478816053592052,-80.57606021672525,1993-09-03,51,27.7,0.6,3.0,19.1,29.5,17,77,Lluvia ligera,1993,1993
1994-02-07,"(28.478816053592052, -80.57606021672525)",1994-009A,22988,99,Cape Canaveral,USA,USA,US Air Force,Titan 4A,10.0,Lockheed Martin Missiles & Space,USA,Military,Communications,,GEO,,-38.9,35754.0,35819.0,0.0007709368662009418,5.99,1436.13,4536.0,,8000,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",,JM/12_08,28.478816053592052,-80.57606021672525,1994-02-07,3,20.4,0.0,0.0,18.5,32.4,54,85,Parcialmente nublado,1994,1994
1994-08-27,"(28.478816053592052, -80.57606021672525)",1994-054A,23223,105,Cape Canaveral,USA,USA,National Reconnaissance Office (NRO)/US Air Force,Titan IVA,,Boeing Satellite Systems,USA,Military,Earth Observation,Electronic Intelligence,GEO,,-27.95,35598.0,35976.0,0.004483241217354176,5.1,1436.13,8000.0,4000,,In the $1 billion range; ELINT; signals intelligence.,,JM/12_08,28.478816053592052,-80.57606021672525,1994-08-27,61,26.1,4.4,8.0,16.1,27.4,44,84,Lluvia ligera,1994,1994
1995-01-29,"(28.478816053592052, -80.57606021672525)",1995-003A,23467,USA 108,Cape Canaveral,USA,USA,US Navy,Atlas 2,4.0,Boeing Satellite Systems,USA,Military,Communications,,GEO,,-177.12,35763.0,35775.0,0.0001423859132869788,3.34,1435.22,3200.0,1545,"2,800 (EOL)",Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,www.spacedebris.net 12/12,28.478816053592052,-80.57606021672525,1995-01-29,53,20.1,2.0,8.0,20.4,32.8,84,85,Lluvia ligera,1995,1995
1995-04-07,"(28.478816053592052, -80.57606021672525)",1995-019A,23553,MSAT 2,Cape Canaveral,USA,USA/Canada,Mobile Satellite Ventures,Atlas 2A,10.0,Hughes Space and Communications Co. ,USA,Commercial,Communications,,GEO,,-101.21,35776.0,35796.0,0.00023721415694088623,4.02,1436.09,2850.0,1330,3300,Wireless network for North America,,JM/12_08,28.478816053592052,-80.57606021672525,1995-04-07,53,20.6,2.4,7.0,25.7,41.0,48,81,Lluvia ligera,1995,1995
1995-07-13,"(28.478816053592052, -80.57606021672525)",1995-035B,23613,TDRS-7,Cape Canaveral,USA,USA,National Aeronautics and Space Administration (NASA),Space Shuttle (STS 70),10.0,TRW Defense and Space Systems Group,USA,Government,Communications,,GEO,,-150.53,35767.0,35803.0,0.0004269956114339936,10.6,1436.04,3180.0,1600,1800,"Tracking and communications with space shuttle, other missions.",,JM/12_08,28.478816053592052,-80.57606021672525,1995-07-13,51,26.2,0.9,4.0,17.9,28.1,63,82,Lluvia ligera,1995,1995
1995-07-31,"(28.478816053592052, -80.57606021672525)",1995-038A,23628,USA 113,Cape Canaveral,USA,USA,US Air Force,Atlas 2A,10.0,Lockheed Martin Missiles & Space,USA,Military,Communications,,GEO,,-52.4,35784.0,35784.0,0.0,0.0,1436.1,1156.0,884,1240,Moved to replace GOES 3 in providing internet service to researchers in Antarctica for 3.5 hours per day.,,GS,28.478816053592052,-80.57606021672525,1995-07-31,53,27.4,0.6,2.0,27.1,42.1,38,82,Lluvia ligera,1995,1995
1996-04-24,"(28.478816053592052, -80.57606021672525)",1996-026A,23855,118,Cape Canaveral,USA,USA,National Reconnaissance Office (NRO)/US Air Force,Titan IVA,,Boeing Satellite Systems,USA,Military,Earth Observation,Electronic Intelligence,GEO,,-23.51,33674.0,37900.0,0.05012216239295965,7.33,1436.12,8000.0,4000,,In the $1 billion range; ELINT; signals intelligence.,,JM/12_08,28.478816053592052,-80.57606021672525,1996-04-24,51,22.2,0.2,2.0,25.2,39.2,59,78,Lluvia ligera,1996,1996
1996-05-12,"(34.74738558053763, -120.57287382598979)",1996-029A,23893,USA 119,Vandenberg AFB,USA,USA,National Reconnaissance Office (NRO),Titan IV,,National Reconnaissance Laboratory,USA,Military,Communications,,Elliptical,Molniya,0.0,1200.0,11600.0,0.4072043852779953,63.4,240.0,,,,Provides tactical intelligence focused support to broad community of users consisting of uniformed military services and government agencies for both exercises and operations.,,GS,34.74738558053763,-120.57287382598979,1996-05-12,0,16.5,0.0,0.0,16.3,28.4,0,72,Soleado,1996,1996
1996-12-18,"(28.478816053592052, -80.57606021672525)",1996-070A,24674,INMARSAT 3 F3,Cape Canaveral,Unknown,United Kingdom,"INMARSAT, Ltd.",Atlas,13.0,Lockheed Martin Commercial Space Systems,USA,Commercial,Communications,,GEO,,178.2,35761.0,35810.0,0.0005811815777300708,0.09,1436.07,2074.0,860,,"Broadcasting, business services, mobile communications; demand assigned L-band transponders; Pacific Ocean region.",,JM/12_08,28.478816053592052,-80.57606021672525,1996-12-18,3,21.5,0.0,0.0,23.4,36.4,67,66,Parcialmente nublado,1996,1996
1997-04-04,"(34.74738558053763, -120.57287382598979)",1997-012A,24753,USA 131,Vandenberg AFB,USA,USA,DoD/NOAA,Titan 2,5.0,Lockheed Martin Missiles & Space,USA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0.0,842.0,855.0,0.0009004640853362887,98.9,101.9,1134.0,823,900,Near-polar orbits; investigate Earth's environment.,,JMSatcat304,34.74738558053763,-120.57287382598979,1997-04-04,2,11.7,0.0,0.0,16.5,31.7,26,76,Parcialmente nublado,1997,1997
1997-05-24,"(45.96725377748388, 63.30547994996387)",1997-026A,24812,Galaxy-25,Baikonur Cosmodrome,USA,USA,Intelsat S.A. ,Proton K,13.0,Space Systems/Loral,USA,Commercial,Communications,,GEO,,-93.09,35771.0,35801.0,0.00035582123541132935,0.03,1436.08,3515.0,,,"24 C-band, 28 Ku-band; U.S., southern Canada, Mexico, Caribbean.",,JM/12_08,45.96725377748388,63.30547994996387,1997-05-24,3,27.0,0.0,0.0,32.5,43.9,40,28,Parcialmente nublado,1997,1997
1997-07-23,"(28.478816053592052, -80.57606021672525)",1997-035A,24876,USA 132,Cape Canaveral,USA,USA,DoD/US Air Force,Delta 2,10.0,Lockheed Martin,USA,Commercial/Military,Satellite Navigation,,MEO,Non-Polar Inclined,0.0,20123.0,20247.0,0.002334776878177368,54.9,718.09,2217.0,980,1136,,,JMSatcat304,28.478816053592052,-80.57606021672525,1997-07-23,61,27.7,1.8,3.0,18.6,30.6,59,83,Lluvia ligera,1997,1997
1997-08-28,"(45.96725377748388, 63.30547994996387)",1997-046A,24916,Intelsat 5,Baikonur Cosmodrome,USA,USA,Intelsat S.A.,Proton K,15.0,Hughes Space and Communications Co.,USA,Commercial,Communications,,GEO,,-156.9,35774.0,35798.0,0.0002846569883290635,0.03,1436.09,2730.0,2519,9700,"28 C-band, 28 Ku-band; covers Arab world. Inclined.",,,45.96725377748388,63.30547994996387,1997-08-28,0,17.6,0.0,0.0,29.1,46.8,0,36,Soleado,1997,1997
1997-08-29,"(34.74738558053763, -120.57287382598979)",1997-047A,24920,FORTÉ ,Vandenberg AFB,USA,USA,Los Alamos National Laboratory,Pegasus XL,3.0,Los Alamos National Laboratory/Sandia National Laboratory,USA,Government,Earth Observation,Radar Imaging,LEO,Polar,0.0,790.0,823.0,0.0022991709050372744,70.0,101.0,215.0,41,55,"Electronic equipment for detecting, analyzing and recording bursts of radio energy (nuclear tests) from near Earth's surface (nonproliferation); study lightning; plastic satellite bus.",,www.satellitedebris.net 12/12,34.74738558053763,-120.57287382598979,1997-08-29,0,19.2,0.0,0.0,27.7,51.5,0,78,Soleado,1997,1997
1997-09-04,"(28.478816053592052, -80.57606021672525)",1997-050A,24936,Eagle-1,Cape Canaveral,USA,USA,Global Eagle Entertainment,Atlas 2AS,15.0,Lockheed Commercial Space Systems,USA,Commercial,Communications,,GEO,,-86.96,35777.0,35795.0,0.0002134927412467976,0.02,1436.08,2845.0,1600,"6,500 (EOL)","North America, Caribbean, Gulf of Mexico",,JM/12_08,28.478816053592052,-80.57606021672525,1997-09-04,55,26.2,4.8,8.0,23.7,36.7,84,86,Lluvia ligera,1997,1997
1997-10-24,"(28.478816053592052, -80.57606021672525)",1997-065A,25019,USA 135,Cape Canaveral,USA,USA,US Air Force,Delta 4,10.0,Lockheed Martin Missiles & Space,USA,Military,Communications,,GEO,,-130.05,35757.0,35817.0,0.0007116255900562184,2.54,1436.1,1156.0,884,1240,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",,JM/12_08,28.478816053592052,-80.57606021672525,1997-10-24,3,24.1,0.0,0.0,24.8,39.6,69,58,Parcialmente nublado,1997,1997
1997-11-08,"(28.478816053592052, -80.57606021672525)",1997-068A,25034,USA 136,Cape Canaveral,USA,USA,National Reconnaissance Office (NRO)/US Air Force,Titan IVA,,Boeing Satellite Systems,USA,Military,Earth Observation,Electronic Intelligence,Elliptical,,0.0,1210.0,38740.0,0.7122793698994117,64.7,709.61,8000.0,,,Signals intelligence; surveillance of cellular phones.,,JMSatcat/12_20,28.478816053592052,-80.57606021672525,1997-11-08,1,16.3,0.0,0.0,25.8,42.8,22,61,Parcialmente nublado,1997,1997
1997-12-02,"(45.96725377748388, 63.30547994996387)",1997-076A,25071,Astra 1G,Baikonur Cosmodrome,Luxembourg,Luxembourg,SES S.A.,Proton K,15.0,Hughes Space and Communications Co.,USA,Commercial,Communications,,GEO,,19.24,35780.0,35791.0,0.00013046933377613835,0.04,1436.08,3379.0,3010,6600,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe,,JM/12_08,45.96725377748388,63.30547994996387,1997-12-02,2,-9.3,0.0,0.0,14.7,24.8,14,70,Parcialmente nublado,1997,1997
1997-12-23,"(37.933875469177956, -75.47227890015118)",1997-084A,25112,ORBCOMM FM-8,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,768.0,778.0,0.0006999860002799944,45.0,100.3,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1997-12-23,61,8.2,5.4,7.0,24.4,49.7,89,90,Lluvia ligera,1997,1997
1997-12-23,"(37.933875469177956, -75.47227890015118)",1997-084E,25116,ORBCOMM FM-9,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,769.0,777.0,0.0005599888002239956,45.0,100.3,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1997-12-23,61,8.2,5.4,7.0,24.4,49.7,89,90,Lluvia ligera,1997,1997
1997-12-23,"(37.933875469177956, -75.47227890015118)",1997-084C,25114,ORBCOMM FM-11,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,769.0,777.0,0.0005599888002239956,45.0,100.3,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1997-12-23,61,8.2,5.4,7.0,24.4,49.7,89,90,Lluvia ligera,1997,1997
1997-12-23,"(37.933875469177956, -75.47227890015118)",1997-084B,25113,ORBCOMM FM-10,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,770.0,776.0,0.00041999160016799666,45.0,100.3,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1997-12-23,61,8.2,5.4,7.0,24.4,49.7,89,90,Lluvia ligera,1997,1997
1997-12-23,"(37.933875469177956, -75.47227890015118)",1997-084H,25119,ORBCOMM FM-7,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,771.0,774.0,0.00021001050052502624,45.0,100.3,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1997-12-23,61,8.2,5.4,7.0,24.4,49.7,89,90,Lluvia ligera,1997,1997
1997-12-23,"(37.933875469177956, -75.47227890015118)",1997-084G,25118,ORBCOMM FM-6,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,772.0,774.0,0.0001399972000559989,45.0,100.3,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1997-12-23,61,8.2,5.4,7.0,24.4,49.7,89,90,Lluvia ligera,1997,1997
1997-12-23,"(37.933875469177956, -75.47227890015118)",1997-084F,25117,ORBCOMM FM-5,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,772.0,774.0,0.0001399972000559989,45.0,100.3,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1997-12-23,61,8.2,5.4,7.0,24.4,49.7,89,90,Lluvia ligera,1997,1997
1997-12-23,"(37.933875469177956, -75.47227890015118)",1997-084D,25115,ORBCOMM FM-12,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,770.0,776.0,0.00041999160016799666,45.0,100.3,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1997-12-23,61,8.2,5.4,7.0,24.4,49.7,89,90,Lluvia ligera,1997,1997
1998-02-04,"(5.23314401858844, -52.776983796694616)",1998-006B,25153,INMARSAT 3 F5,Guiana Space Center,Unknown,United Kingdom,"INMARSAT, Ltd.",Ariane 44L,13.0,Lockheed Martin Commercial Space Systems,USA,Commercial,Communications,,GEO,,25.07,35769.0,35803.0,0.0004032640667995066,0.04,1436.07,2000.0,895,2800,"Broadcasting, business services, mobile communications; demand assigned L-band transponders; back-up and leased-capacity.",,JM/12_08,5.23314401858844,-52.776983796694616,1998-02-04,51,26.3,3.8,16.0,18.3,34.9,48,87,Lluvia ligera,1998,1998
1998-02-10,"(34.74738558053763, -120.57287382598979)",1998-007C,25159,ORBCOMM FM-4,Vandenberg AFB,USA,USA,ORBCOMM Inc.,Taurus,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Polar,0.0,768.0,838.0,0.004879408894465356,108.0,100.9,45.0,22,160,,,www.satellitedebris.net 12/12,34.74738558053763,-120.57287382598979,1998-02-10,3,11.7,0.0,0.0,21.0,40.3,70,69,Parcialmente nublado,1998,1998
1998-03-16,"(28.478816053592052, -80.57606021672525)",1998-016A,25258,USA 138,Cape Canaveral,USA,USA,US Navy,Atlas 2,4.0,Boeing Satellite Systems,USA,Military,Communications,,GEO,,172.28,35772.0,35794.0,0.0002609541432401015,5.24,1435.94,3206.0,1545,"3,800 (EOL)",Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,JMSatcat/4_22,28.478816053592052,-80.57606021672525,1998-03-16,2,19.7,0.0,0.0,21.4,33.5,13,58,Parcialmente nublado,1998,1998
1998-05-09,"(28.478816053592052, -80.57606021672525)",1998-029A,25336,USA 139,Cape Canaveral,USA,USA,National Reconnaissance Office (NRO),Titan IVA,,TRW Space and Electronics,USA,Military,Earth Observation,Electronic Intelligence,GEO,,-26.0,35560.0,36013.0,0.005372836929061948,7.72,1436.14,5200.0,,,ELINT.,,JM/12_08,28.478816053592052,-80.57606021672525,1998-05-09,3,25.6,0.0,0.0,28.8,48.2,56,78,Parcialmente nublado,1998,1998
1998-05-13,"(34.74738558053763, -120.57287382598979)",1998-030A,25338,NOAA-15,Vandenberg AFB,USA,USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Titan 2,3.0,Lockheed Martin Missiles & Space,USA,Government,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0.0,800.0,816.0,0.0011145165784341043,98.7,101.0,2223.0,1500,830,K surveillance of satellites h  LEO.,,www.satellitedebris.net 12/12,34.74738558053763,-120.57287382598979,1998-05-13,61,11.6,10.4,17.0,19.7,35.6,68,81,Lluvia ligera,1998,1998
1998-08-02,"(37.933875469177956, -75.47227890015118)",1998-046G,25419,ORBCOMM FM-14,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus XL,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,789.0,794.0,0.000349088878028346,45.0,100.7,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1998-08-02,3,22.4,0.0,0.0,19.5,36.0,55,61,Parcialmente nublado,1998,1998
1998-08-02,"(37.933875469177956, -75.47227890015118)",1998-046H,25420,ORBCOMM FM-13,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus XL,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,788.0,795.0,0.0004887244292396844,45.0,100.7,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1998-08-02,3,22.4,0.0,0.0,19.5,36.0,55,61,Parcialmente nublado,1998,1998
1998-08-02,"(37.933875469177956, -75.47227890015118)",1998-046F,25418,ORBCOMM FM-15,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus XL,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,788.0,795.0,0.0004887244292396844,45.0,100.7,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1998-08-02,3,22.4,0.0,0.0,19.5,36.0,55,61,Parcialmente nublado,1998,1998
1998-08-02,"(37.933875469177956, -75.47227890015118)",1998-046B,25414,ORBCOMM FM-18,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus XL,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,787.0,796.0,0.0006283599804510229,45.0,100.7,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1998-08-02,3,22.4,0.0,0.0,19.5,36.0,55,61,Parcialmente nublado,1998,1998
1998-08-02,"(37.933875469177956, -75.47227890015118)",1998-046C,25415,ORBCOMM FM-19,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus XL,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,788.0,795.0,0.0004887244292396844,45.0,100.7,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1998-08-02,3,22.4,0.0,0.0,19.5,36.0,55,61,Parcialmente nublado,1998,1998
1998-08-02,"(37.933875469177956, -75.47227890015118)",1998-046D,25416,ORBCOMM FM-20,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus XL,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,791.0,792.0,6.981777560566921e-05,45.0,100.7,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1998-08-02,3,22.4,0.0,0.0,19.5,36.0,55,61,Parcialmente nublado,1998,1998
1998-08-30,"(45.96725377748388, 63.30547994996387)",1998-050A,25462,Astra 2A,Baikonur Cosmodrome,Luxembourg,Luxembourg,SES S.A.,Proton K,15.0,Hughes Space and Communications Co.,USA,Commercial,Communications,,GEO,,28.16,35776.0,35797.0,0.0002490719106187658,0.08,1436.12,3635.0,2500,7000,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after.",,JM/12_08,45.96725377748388,63.30547994996387,1998-08-30,1,27.6,0.0,0.0,23.2,39.6,4,20,Parcialmente nublado,1998,1998
1998-09-23,"(37.933875469177956, -75.47227890015118)",1998-053G,25481,ORBCOMM FM-27,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,790.0,792.0,0.00013964530093562352,45.0,100.7,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1998-09-23,1,19.6,0.0,0.0,25.9,47.2,5,59,Parcialmente nublado,1998,1998
1998-09-23,"(37.933875469177956, -75.47227890015118)",1998-053A,25475,ORBCOMM FM-21,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,810.0,822.0,0.0008349568605622043,45.0,101.21,45.0,22,160,,,JMSatcat803,37.933875469177956,-75.47227890015118,1998-09-23,1,19.6,0.0,0.0,25.9,47.2,5,59,Parcialmente nublado,1998,1998
1998-09-23,"(37.933875469177956, -75.47227890015118)",1998-053C,25477,ORBCOMM FM-23,Wallops Island Flight Facility,USA,USA,ORBCOMM Inc.,Pegasus,5.0,Orbital Sciences Corp.,USA,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,788.0,794.0,0.00041893590280687055,45.0,100.7,45.0,22,160,,,www.satellitedebris.net 12/12,37.933875469177956,-75.47227890015118,1998-09-23,1,19.6,0.0,0.0,25.9,47.2,5,59,Parcialmente nublado,1998,1998
